GRanD ID= 610
Dam/Reservoir Name= Lake_Mead/Hoover
Approximated Geometry= Rectangular Prism
Mean Length (km)= 126.40
Mean Width (km)= 6.60
Mean Depth (m)= 63.20
Dam Height (m)= 211.85
Depth(m)	,	Area(skm)	,	Storage(mcm)	
82.10,344.13,6255.94
82.20,344.44,6270.06
82.30,344.76,6284.18
82.40,345.08,6298.33
82.50,345.40,6312.48
82.60,345.71,6326.65
82.70,346.03,6340.83
82.80,346.35,6355.02
82.90,346.66,6369.23
83.00,346.98,6383.45
83.10,347.30,6397.68
83.20,347.61,6411.93
83.30,347.93,6426.19
83.40,348.24,6440.46
83.50,348.56,6454.74
83.60,348.87,6469.04
83.70,349.19,6483.35
83.80,349.50,6497.67
83.90,349.82,6512.01
84.00,350.13,6526.36
84.10,350.44,6540.72
84.20,350.76,6555.09
84.30,351.07,6569.48
84.40,351.38,6583.88
84.50,351.70,6598.30
84.60,352.01,6612.72
84.70,352.32,6627.16
84.80,352.63,6641.61
84.90,352.94,6656.08
85.00,353.26,6670.55
85.10,353.57,6685.04
85.20,353.88,6699.55
85.30,354.19,6714.06
85.40,354.50,6728.59
85.50,354.81,6743.13
85.60,355.12,6757.68
85.70,355.43,6772.25
85.80,355.74,6786.83
85.90,356.05,6801.42
86.00,356.36,6816.02
86.10,356.66,6830.64
86.20,356.97,6845.27
86.30,357.28,6859.91
86.40,357.59,6874.57
86.50,357.90,6889.24
86.60,358.20,6903.92
86.70,358.51,6918.61
86.80,358.82,6933.31
86.90,359.13,6948.03
87.00,359.43,6962.76
87.10,359.74,6977.50
87.20,360.04,6992.26
87.30,360.35,7007.03
87.40,360.66,7021.81
87.50,360.96,7036.60
87.60,361.27,7051.41
87.70,361.57,7066.23
87.80,361.87,7081.06
87.90,362.18,7095.90
88.00,362.48,7110.76
88.10,362.79,7125.62
88.20,363.09,7140.50
88.30,363.39,7155.40
88.40,363.70,7170.30
88.50,364.00,7185.22
88.60,364.30,7200.15
88.70,364.60,7215.09
88.80,364.91,7230.05
88.90,365.21,7245.01
89.00,365.51,7259.99
89.10,365.81,7274.99
89.20,366.11,7289.99
89.30,366.41,7305.01
89.40,366.71,7320.04
89.50,367.01,7335.08
89.60,367.31,7350.13
89.70,367.61,7365.20
89.80,367.91,7380.28
89.90,368.21,7395.37
90.00,368.51,7410.47
90.10,368.81,7425.58
90.20,369.11,7440.71
90.30,369.41,7455.85
90.40,369.71,7471.00
90.50,370.00,7486.17
90.60,370.30,7501.34
90.70,370.60,7516.53
90.80,370.90,7531.73
90.90,371.19,7546.95
91.00,371.49,7562.17
91.10,371.79,7577.41
91.20,372.08,7592.66
91.30,372.38,7607.92
91.40,372.67,7623.19
91.50,372.97,7638.48
91.60,373.26,7653.78
91.70,373.56,7669.09
91.80,373.85,7684.41
91.90,374.15,7699.74
92.00,374.44,7715.09
92.10,374.74,7730.45
92.20,375.03,7745.82
92.30,375.32,7761.20
92.40,375.62,7776.59
92.50,375.91,7792.00
92.60,376.20,7807.42
92.70,376.50,7822.85
92.80,376.79,7838.29
92.90,377.08,7853.74
93.00,377.37,7869.21
93.10,377.66,7884.69
93.20,377.95,7900.18
93.30,378.25,7915.68
93.40,378.54,7931.20
93.50,378.83,7946.72
93.60,379.12,7962.26
93.70,379.41,7977.81
93.80,379.70,7993.37
93.90,379.99,8008.94
94.00,380.28,8024.53
94.10,380.56,8040.13
94.20,380.85,8055.74
94.30,381.14,8071.36
94.40,381.43,8086.99
94.50,381.72,8102.63
94.60,382.01,8118.29
94.70,382.29,8133.96
94.80,382.58,8149.64
94.90,382.87,8165.33
95.00,383.15,8181.03
95.10,383.44,8196.75
95.20,383.73,8212.48
95.30,384.01,8228.21
95.40,384.30,8243.96
95.50,384.59,8259.73
95.60,384.87,8275.50
95.70,385.16,8291.29
95.80,385.44,8307.08
95.90,385.73,8322.89
96.00,386.01,8338.71
96.10,386.29,8354.54
96.20,386.58,8370.39
96.30,386.86,8386.24
96.40,387.14,8402.11
96.50,387.43,8417.99
96.60,387.71,8433.88
96.70,387.99,8449.78
96.80,388.28,8465.70
96.90,388.56,8481.62
97.00,388.84,8497.56
97.10,389.12,8513.51
97.20,389.40,8529.47
97.30,389.68,8545.44
97.40,389.97,8561.42
97.50,390.25,8577.41
97.60,390.53,8593.42
97.70,390.81,8609.44
97.80,391.09,8625.47
97.90,391.37,8641.51
98.00,391.65,8657.56
98.10,391.93,8673.62
98.20,392.20,8689.70
98.30,392.48,8705.78
98.40,392.76,8721.88
98.50,393.04,8737.99
98.60,393.32,8754.11
98.70,393.60,8770.24
98.80,393.87,8786.38
98.90,394.15,8802.54
99.00,394.43,8818.70
99.10,394.70,8834.88
99.20,394.98,8851.07
99.30,395.26,8867.27
99.40,395.53,8883.48
99.50,395.81,8899.70
99.60,396.08,8915.94
99.70,396.36,8932.18
99.80,396.63,8948.44
99.90,396.91,8964.71
100.00,397.18,8980.98
100.10,397.46,8997.27
100.20,397.73,9013.58
100.30,398.01,9029.89
100.40,398.28,9046.21
100.50,398.55,9062.55
100.60,398.83,9078.89
100.70,399.10,9095.25
100.80,399.37,9111.62
100.90,399.64,9128.00
101.00,399.92,9144.39
101.10,400.19,9160.79
101.20,400.46,9177.21
101.30,400.73,9193.63
101.40,401.00,9210.07
101.50,401.27,9226.51
101.60,401.54,9242.97
101.70,401.81,9259.44
101.80,402.08,9275.92
101.90,402.35,9292.41
102.00,402.62,9308.91
102.10,402.89,9325.43
102.20,403.16,9341.95
102.30,403.43,9358.48
102.40,403.70,9375.03
102.50,403.97,9391.59
102.60,404.24,9408.16
102.70,404.50,9424.74
102.80,404.77,9441.33
102.90,405.04,9457.93
103.00,405.31,9474.54
103.10,405.57,9491.16
103.20,405.84,9507.80
103.30,406.11,9524.44
103.40,406.37,9541.10
103.50,406.64,9557.76
103.60,406.90,9574.44
103.70,407.17,9591.13
103.80,407.44,9607.83
103.90,407.70,9624.54
104.00,407.97,9641.26
104.10,408.23,9657.99
104.20,408.49,9674.74
104.30,408.76,9691.49
104.40,409.02,9708.25
104.50,409.29,9725.03
104.60,409.55,9741.82
104.70,409.81,9758.61
104.80,410.07,9775.42
104.90,410.34,9792.24
105.00,410.60,9809.07
105.10,410.86,9825.91
105.20,411.12,9842.76
105.30,411.38,9859.62
105.40,411.65,9876.49
105.50,411.91,9893.37
105.60,412.17,9910.27
105.70,412.43,9927.17
